Site Number,Street Description,Lat,Long,Lat Adjusted,Long Adjusted,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
505840,2 Avenue SW West of  65 Street SW,53.4308493,-113.4417044,53.4308493,-113.4417044,3000,2900,3000,3100,3100,2900,3400,3200,3300,2900,3200,3400
505608,3 Avenue SW West of  58 Street SW,53.4303725,-113.4314252,53.4303725,-113.4314252,-,1400,1500,1500,1500,1400,1400,2600,2700,2300,2500,2600
430645,3 Street NE North of 161 Avenue NE,53.6240979,-113.3354945,53.6240979,-113.3354945,-,300,400,400,400,400,600,600,700,600,700,800
505464,4 Avenue SW West of  50 Street SW,53.42864,-113.42112,53.42864,-113.42112,-,1200,1200,1200,1200,1100,5600,5200,5400,4600,5000,5200
204850,9 Avenue SW West of 207 Street SW,53.4249443,-113.6830733,53.4249443,-113.6830733,300,300,300,300,300,400,400,400,500,500,600,700
204858,9 Avenue SW West of 215 Street SW,53.4249818,-113.6918057,53.4249818,-113.6918057,500,500,500,400,400,400,400,400,500,500,600,700
208702,9 Avenue West of 111 Street,53.4394,-113.5198824,53.4394,-113.5198824,4400,4300,4400,5900,6600,6300,6200,5900,6100,5200,5600,5900
208714,9 Avenue West of 112A Street,53.4394107,-113.5232729,53.4394107,-113.5232729,3900,3800,3900,5400,5400,5100,5400,5100,5300,4600,5000,5200
208774,9 Avenue West of 114A Street,53.4377446,-113.529757,53.4377446,-113.529757,2100,2100,2100,4100,4100,3900,4800,4600,4800,4100,4400,4600
209008,9B Avenue West of 116  Street,53.439431,-113.536428,53.439431,-113.536428,1500,2000,2300,2200,2500,2400,2400,2300,2400,2100,2300,2400
209368,11 Avenue West of 106 Street,53.4414624,-113.5001243,53.4414624,-113.5001243,-,-,1200,1200,1200,1100,1100,1000,1100,1000,1100,1200
507612,12 Avenue West of  41 Street,53.4403,-113.4069726,53.4403,-113.4069726,-,-,2600,2700,2700,4300,4300,4100,4300,3700,4000,4200
507620,12 Avenue West of  45 Street,53.4411517,-113.4113253,53.4411517,-113.4113253,-,-,2500,2600,2600,2500,2500,2400,2500,2200,2400,2500
507644,12 Avenue West of  65 Street,53.4414356,-113.4385928,53.4414356,-113.4385928,2800,2800,2800,2900,2900,2800,2800,2700,2800,2400,2600,2800
507652,12 Avenue West of  66 Street,53.4416713,-113.4399957,53.4416713,-113.4399957,900,900,1000,1000,1000,1000,1000,1000,1100,1000,1100,1200
